Joe Graboski,1962,All Team,38,-,12.3,2.03,5.82,0.348,-,-,-,1.03,1.71,0.6,-,-,4.05,0.74,-,-,1.63,-,5.08,10.52
Si Green,1962,All Team,71,-,33.6,4.8,12.75,0.377,-,-,-,3.07,4.38,0.701,-,-,5.62,4.48,-,-,3.18,-,12.68,11.29
Woody Sauldsberry,1962,All Team,63,-,28,4.73,13.79,0.343,-,-,-,1.25,1.95,0.642,-,-,8.51,1.43,-,-,2.84,-,10.71,9.58
Barney Cable,1962,All Team,67,-,27.8,4.55,11.18,0.407,-,-,-,1.76,2.7,0.652,-,-,8.4,1.72,-,-,3.15,-,10.87,11.65
Archie Dees,1962,All Team,21,-,13.7,2.43,5.48,0.443,-,-,-,1.67,2.19,0.761,-,-,3.67,0.76,-,-,1.57,-,6.52,14.39
Vern Hatton,1962,All Team,40,-,22.4,2.8,8.28,0.338,-,-,-,2.45,3.12,0.784,-,-,2.55,2.48,-,-,1.57,-,8.05,9.29
Shellie McMillon,1962,All Team,62,-,19.8,4.27,9.53,0.448,-,-,-,1.74,2.94,0.593,-,-,5.94,0.95,-,-,3.26,-,10.29,14.02
Bob McNeill,1962,All Team,50,-,8.8,1.12,2.72,0.412,-,-,-,0.52,0.68,0.765,-,-,1.12,1.78,-,-,1.12,-,2.76,10.93
Al Butler,1962,All Team,59,-,34.2,5.92,12.78,0.463,-,-,-,2.19,3.08,0.709,-,-,5.71,3.47,-,-,2.64,-,14.02,13.07
York Larese,1962,All Team,59,-,11.9,2.07,5.54,0.373,-,-,-,0.98,1.22,0.806,-,-,1.31,1.59,-,-,1.76,-,5.12,9.85
Bob Sims,1962,All Team,65,-,20.7,2.97,7.55,0.393,-,-,-,1.89,3.32,0.569,-,-,2.82,2.37,-,-,2.88,-,7.83,9.44
Carl Braun,1962,BOS,48,-,8.6,1.62,4.31,0.377,-,-,-,0.42,0.56,0.741,-,-,1.04,1.48,-,-,1.02,-,3.67,10.81
Carl Braun,1962,BOS,48,-,8.6,1.62,4.31,0.377,-,-,-,0.42,0.56,0.741,-,-,1.04,1.48,-,-,1.02,-,3.67,10.81
Bob Cousy,1962,BOS,75,-,28.2,6.16,15.75,0.391,-,-,-,3.35,4.44,0.754,-,-,3.48,7.79,-,-,1.8,-,15.67,17.37
Frank Ramsey,1962,BOS,79,-,24.2,5.52,12.9,0.428,-,-,-,4.23,5.13,0.825,-,-,4.9,1.38,-,-,3.1,-,15.27,15.8
Jim Loscutoff,1962,BOS,79,-,14.5,2.38,6.57,0.362,-,-,-,0.57,1.06,0.536,-,-,4.16,0.65,-,-,2.34,-,5.33,8.03
Tommy Heinsohn,1962,BOS,79,-,30.2,8.76,20.42,0.429,-,-,-,4.53,5.53,0.819,-,-,9.46,2.09,-,-,3.54,-,22.05,19.5
Bill Russell,1962,BOS,76,-,45.2,7.57,16.55,0.457,-,-,-,3.76,6.33,0.595,-,-,23.55,4.49,-,-,2.72,-,18.89,17.66
Sam Jones,1962,BOS,78,-,30.6,7.64,16.46,0.464,-,-,-,3.12,3.81,0.818,-,-,5.87,2.97,-,-,1.91,-,18.4,17.3
K.C. Jones,1962,BOS,80,-,25.7,3.67,9.05,0.406,-,-,-,1.84,2.9,0.634,-,-,3.73,4.29,-,-,2.58,-,9.19,11.08
Gene Guarilia,1962,BOS,45,-,8.2,1.36,3.58,0.379,-,-,-,0.91,1.42,0.641,-,-,2.76,0.24,-,-,1.24,-,3.62,11.02
Satch Sanders,1962,BOS,80,-,29.1,4.38,10.05,0.435,-,-,-,2.46,3.29,0.749,-,-,9.53,0.93,-,-,3.49,-,11.21,11.77
Al Butler,1962,BOS,5,-,9.4,2.6,5.8,0.448,-,-,-,1,1.2,0.833,-,-,2.6,0.8,-,-,1.8,-,6.2,20.32
Gary Phillips,1962,BOS,67,-,10.6,1.64,4.63,0.355,-,-,-,0.75,1.28,0.581,-,-,1.6,0.96,-,-,1.63,-,4.03,7.52
Joe Graboski,1962,CHI,12,-,0,0,0,0,-,-,-,0,0,0,-,-,0,0,-,-,0,-,0,-
Si Green,1962,CHI,57,-,0,0,0,0,-,-,-,0,0,0,-,-,0,0,-,-,0,-,0,-
Slick Leonard,1962,CHI,70,-,35.2,6.04,16.11,0.375,-,-,-,3.99,5.3,0.752,-,-,2.84,5.4,-,-,2.66,-,16.07,12.4
Dave Piontek,1962,CHI,45,-,13.6,1.84,5,0.369,-,-,-,0.87,1.31,0.661,-,-,3.44,0.69,-,-,1.98,-,4.56,8.61
