Herm Gilliam,1970,CIN,57,-,20.4,3.14,7.74,.406,-,-,-,1.19,1.60,.747,-,-,3.77,3.12,-,-,2.86,-,7.47,11.02
Herm Gilliam,1971,BUF,80,-,26.0,4.72,11.20,.422,-,-,-,1.77,2.36,.751,-,-,4.17,3.64,-,-,3.08,-,11.22,13.05
Herm Gilliam,1972,ATL,82,-,28.5,4.21,9.44,.446,-,-,-,1.77,2.11,.838,-,-,4.09,4.60,-,-,2.83,-,10.18,13.32
Herm Gilliam,1973,ATL,76,-,36.1,6.20,13.25,.468,-,-,-,1.62,1.97,.820,-,-,5.25,6.34,-,-,3.38,-,14.01,14.36
Herm Gilliam,1974,ATL,62,-,32.3,6.19,13.65,.454,-,-,-,1.71,2.16,.791,0.98,3.32,4.31,5.73,2.16,0.29,3.06,-,14.10,15.79
Herm Gilliam,1975,ATL,60,-,23.2,5.23,12.27,.427,-,-,-,1.57,1.88,.832,1.27,2.13,3.40,2.83,1.28,0.22,2.07,-,12.03,16.15
Herm Gilliam,1976,SEA,81,-,20.3,3.69,8.35,.442,-,-,-,1.11,1.43,.776,0.69,2.02,2.72,2.49,1.01,0.15,1.72,-,8.49,13.83
Herm Gilliam,1977,POR,80,-,20.8,4.08,9.30,.438,-,-,-,1.15,1.50,.767,0.80,1.71,2.51,2.12,0.95,0.07,2.10,-,9.30,12.67
Bob Greacen,1970,MIL,41,-,7.1,1.07,2.66,.404,-,-,-,0.44,0.68,.643,-,-,1.44,0.66,-,-,1.20,-,2.59,9.05
Bob Greacen,1971,MIL,2,-,21.5,0.50,6.00,.083,-,-,-,1.50,3.50,.429,-,-,3.00,6.50,-,-,3.50,-,2.50,3.96
Lamar Green,1970,PHX,58,-,12.1,1.74,4.03,.432,-,-,-,0.71,1.21,.586,-,-,4.76,0.29,-,-,1.98,-,4.19,10.71
Lamar Green,1971,PHX,68,-,19.5,2.46,5.43,.453,-,-,-,0.94,1.56,.604,-,-,6.85,0.78,-,-,2.97,-,5.85,10.75
Lamar Green,1972,PHX,67,-,14.8,1.99,4.45,.446,-,-,-,0.99,1.34,.733,-,-,5.19,0.67,-,-,2.00,-,4.96,12.28
Lamar Green,1973,PHX,80,-,25.6,2.80,6.50,.431,-,-,-,1.11,1.48,.754,-,-,9.32,1.11,-,-,3.29,-,6.71,11.03
Lamar Green,1974,PHX,72,-,15.3,1.79,4.40,.407,-,-,-,0.53,0.94,.559,1.18,3.68,4.86,0.60,0.44,0.53,2.08,-,4.11,9.60
Lamar Green,1975,NOJ,15,-,18.7,1.60,4.67,.343,-,-,-,0.60,1.33,.450,1.87,5.40,7.27,1.07,0.27,0.33,2.53,-,3.80,8.33
Connie Hawkins,1970,PHX,81,-,40.9,8.75,17.86,.490,-,-,-,7.12,9.15,.779,-,-,10.44,4.83,-,-,3.54,-,24.63,20.34
Connie Hawkins,1971,PHX,71,-,37.5,7.21,16.63,.434,-,-,-,6.44,7.89,.816,-,-,9.06,4.54,-,-,2.77,-,20.86,18.99
Connie Hawkins,1972,PHX,76,-,36.8,7.51,16.37,.459,-,-,-,6.00,7.43,.807,-,-,8.33,3.89,-,-,3.09,-,21.03,19.03
Connie Hawkins,1973,PHX,75,-,36.9,5.88,12.27,.479,-,-,-,4.29,5.39,.797,-,-,8.55,4.05,-,-,3.05,-,16.05,16.68
Connie Hawkins,1974,<a href="/nba/teams/N-A/0/Rosters/Regular/1974">All Teams</a>,79,-,34.9,5.11,10.22,.501,-,-,-,2.42,3.18,.761,2.23,4.92,7.15,5.15,1.43,1.03,2.82,-,12.65,15.43
Connie Hawkins,1974,LAL,71,-,35.7,5.18,10.32,.502,-,-,-,2.44,3.15,.772,2.28,5.07,7.35,5.34,1.48,1.10,2.86,-,12.80,15.47
Connie Hawkins,1974,PHX,8,-,27.9,4.50,9.25,.486,-,-,-,2.25,3.38,.667,1.75,3.62,5.38,3.50,1.00,0.38,2.50,-,11.25,14.92
Connie Hawkins,1975,LAL,43,-,23.9,3.23,7.53,.429,-,-,-,1.58,2.30,.687,1.26,3.35,4.60,2.79,1.19,0.53,2.70,-,8.05,13.04
Connie Hawkins,1976,ATL,74,-,25.8,3.20,7.16,.447,-,-,-,1.84,2.58,.712,1.38,4.64,6.01,2.86,1.08,0.62,2.32,-,8.24,14.31
Brian Heaney,1970,WAS,14,-,5.0,0.93,1.71,.542,-,-,-,0.14,0.29,.500,-,-,0.29,0.43,-,-,1.21,-,2.00,8.17
Steve Kuberski,1970,BOS,51,-,15.6,2.55,6.57,.388,-,-,-,1.25,1.80,.696,-,-,5.04,0.57,-,-,1.71,-,6.35,11.18
Steve Kuberski,1971,BOS,82,-,22.8,3.82,9.09,.420,-,-,-,1.62,2.23,.727,-,-,6.56,0.95,-,-,2.41,-,9.26,11.62
